countryCode,year,population
900,1950,2525778.669
900,1951,2572850.917
900,1952,2619292.068
900,1953,2665865.392
900,1954,2713172.027
900,1955,2761650.981
900,1956,2811572.031
900,1957,2863042.795
900,1958,2916030.167
900,1959,2970395.814
900,1960,3026002.942
900,1961,3082830.266
900,1962,3141071.531
900,1963,3201178.277
900,1964,3263738.832
900,1965,3329122.479
900,1966,3397475.247
900,1967,3468521.724
900,1968,3541674.891
900,1969,3616108.749
900,1970,3691172.616
900,1971,3766754.345
900,1972,3842873.611
900,1973,3919182.332
900,1974,3995304.922
900,1975,4071020.434
900,1976,4146135.85
900,1977,4220816.737
900,1978,4295664.825
900,1979,4371527.871
900,1980,4449048.798
900,1981,4528234.634
900,1982,4608962.418
900,1983,4691559.84
900,1984,4776392.828
900,1985,4863601.517
900,1986,4953376.71
900,1987,5045315.871
900,1988,5138214.688
900,1989,5230452.409
900,1990,5320816.667
900,1991,5408908.724
900,1992,5494899.57
900,1993,5578865.109
900,1994,5661086.346
900,1995,5741822.412
900,1996,5821016.75
900,1997,5898688.337
900,1998,5975303.657
900,1999,6051478.01
900,2000,6127700.428
900,2001,6204147.026
900,2002,6280853.817
900,2003,6357991.749
900,2004,6435705.595
900,2005,6514094.605
900,2006,6593227.977
900,2007,6673105.937
900,2008,6753649.228
900,2009,6834721.933
900,2010,6916183.482
901,1950,812943.056
901,1951,822492.198
901,1952,832461.568
901,1953,842682.522
901,1954,853024.601
901,1955,863395.541
901,1956,873743.157
901,1957,884053.455
901,1958,894345.009
901,1959,904659.596
901,1960,915033.991
901,1961,925470.062
901,1962,935908.398
901,1963,946217.117
901,1964,956223.729
901,1965,965808.962
901,1966,974908.533
901,1967,983564.144
901,1968,991893.891
901,1969,1000073.806
901,1970,1008230.08
901,1971,1016406.87
901,1972,1024561.171
901,1973,1032628.088
901,1974,1040506.327
901,1975,1048126.453
901,1976,1055475.118
901,1977,1062591.445
901,1978,1069521.692
901,1979,1076333.011
901,1980,1083077.411
901,1981,1089753.56
901,1982,1096353.845
901,1983,1102914.656
901,1984,1109478.975
901,1985,1116068.448
901,1986,1122706.776
901,1987,1129361.922
901,1988,1135930.172
901,1989,1142269.952
901,1990,1148278.357
901,1991,1153933.797
901,1992,1159264.292
901,1993,1164280.481
901,1994,1169009.565
901,1995,1173483.744
901,1996,1177703.784
901,1997,1181697.164
901,1998,1185559.383
901,1999,1189413.16
901,2000,1193354.621
901,2001,1197397.151
901,2002,1201539.998
901,2003,1205842.402
901,2004,1210368.88
901,2005,1215149.269
901,2006,1220229.046
901,2007,1225556.734
